[2026-07-16T13:58:11.125+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-16T13:58:11.140+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-07-16T13:57:00+00:00 [queued]>
[2026-07-16T13:58:11.143+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-07-16T13:57:00+00:00 [queued]>
[2026-07-16T13:58:11.143+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-07-16T13:58:11.149+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-07-16 13:57:00+00:00
[2026-07-16T13:58:11.155+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=57360) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-07-16T13:58:11.154+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-07-16T13:57:00+00:00', '--job-id', '407', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmp2nmnefjk']
[2026-07-16T13:58:11.156+0000] {standard_task_runner.py:64} INFO - Started process 57374 to run task
[2026-07-16T13:58:11.156+0000] {standard_task_runner.py:91} INFO - Job 407: Subtask download_minio
[2026-07-16T13:58:11.182+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-07-16T13:57:00+00:00 [running]> on host 1b3af0dde868
[2026-07-16T13:58:11.226+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-07-16T13:57:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-16T13:57:00+00:00'
[2026-07-16T13:58:11.226+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-16T13:58:11.444+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1783903075.json -> /tmp/minio_downloads/1783903075.json
[2026-07-16T13:58:11.448+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1783903082.json -> /tmp/minio_downloads/1783903082.json
[2026-07-16T13:58:11.451+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1784067253.json -> /tmp/minio_downloads/1784067253.json
[2026-07-16T13:58:11.454+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1784067260.json -> /tmp/minio_downloads/1784067260.json
[2026-07-16T13:58:11.457+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1784067267.json -> /tmp/minio_downloads/1784067267.json
